2025-03-24 11:15:14 | REGISTER | u | 127.0.0.1 | SUCCESS
2025-03-24 11:15:19 | LOGIN | u | 127.0.0.1 | SUCCESS
2025-03-24 11:15:23 | MOUSE | u | 127.0.0.1 | SUCCESS
2025-03-24 11:15:24 | SCREEN | u | 127.0.0.1 | SUCCESS
2025-03-24 11:29:30 | LOGIN | u | 10.100.102.12 | SUCCESS
2025-03-24 11:29:43 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-03-24 11:29:44 | SCREEN | u | 10.100.102.12 | SUCCESS
2025-03-24 11:30:10 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-03-24 11:30:19 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-03-24 11:51:14 | LOGIN | u | 127.0.0.1 | SUCCESS
2025-03-24 11:51:16 | MOUSE | u | 127.0.0.1 | SUCCESS
2025-03-24 11:51:17 | SCREEN | u | 127.0.0.1 | SUCCESS
2025-03-24 11:56:19 | LOGIN | u | 10.100.102.12 | SUCCESS
2025-03-24 11:56:22 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-03-24 11:56:23 | SCREEN | u | 10.100.102.12 | SUCCESS
2025-03-24 12:10:49 | LOGIN | u | 10.100.102.12 | SUCCESS
2025-03-24 12:10:52 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-03-24 12:10:53 | SCREEN | u | 10.100.102.12 | SUCCESS
2025-03-24 12:11:32 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-03-24 12:18:15 | LOGIN | u | 10.100.102.114 | SUCCESS
2025-03-24 12:18:17 | MOUSE | u | 10.100.102.114 | SUCCESS
2025-03-24 12:18:18 | SCREEN | u | 10.100.102.114 | SUCCESS
2025-03-24 12:18:34 | MOUSE | u | 10.100.102.114 | SUCCESS
2025-03-24 12:19:02 | MOUSE | u | 10.100.102.114 | SUCCESS
2025-03-24 12:30:25 | LOGIN | u | 10.100.102.114 | SUCCESS
2025-03-24 12:36:56 | LOGIN | u | 10.100.102.114 | SUCCESS
2025-03-24 12:37:34 | MOUSE | u | 10.100.102.114 | SUCCESS
2025-03-24 12:37:35 | SCREEN | u | 10.100.102.114 | SUCCESS
2025-03-24 12:37:40 | MOUSE | u | 10.100.102.114 | SUCCESS
2025-03-24 12:38:06 | MOUSE | u | 10.100.102.114 | SUCCESS
2025-03-24 12:39:34 | MOUSE | u | 10.100.102.114 | SUCCESS
2025-03-24 12:43:11 | LOGIN | u | 10.100.102.12 | SUCCESS
2025-03-24 12:43:51 | LOGIN | u | 10.100.102.12 | SUCCESS
2025-03-24 12:44:01 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-03-24 12:44:02 | SCREEN | u | 10.100.102.12 | SUCCESS
2025-03-24 12:44:41 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-03-24 12:45:33 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-03-24 12:46:23 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-03-24 12:46:42 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-03-24 12:46:43 | SCREEN | u | 10.100.102.12 | SUCCESS
2025-03-24 12:47:06 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-03-24 13:02:17 | LOGIN | u | 10.100.102.12 | SUCCESS
2025-03-24 13:02:32 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-03-24 13:02:33 | SCREEN | u | 10.100.102.12 | SUCCESS
2025-03-24 13:03:45 | LOGIN | u | 10.100.102.12 | SUCCESS
2025-03-24 13:04:02 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-03-24 13:04:03 | SCREEN | u | 10.100.102.12 | SUCCESS
2025-03-24 13:04:14 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-03-24 13:04:32 | MOUSE | u | 10.100.102.12 | SUCCESS
