2025-04-27 15:56:51 | LOGIN | u | 10.100.102.12 | SUCCESS
2025-04-27 15:57:06 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-04-27 15:57:07 | SCREEN | u | 10.100.102.12 | SUCCESS
2025-04-27 15:59:05 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-04-27 16:02:37 | LOGIN | u | 10.100.102.12 | SUCCESS
2025-04-27 16:02:47 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-04-27 16:02:48 | SCREEN | u | 10.100.102.12 | SUCCESS
2025-04-27 16:03:26 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-04-27 16:12:00 | LOGIN | u | 10.100.102.12 | SUCCESS
2025-04-27 16:12:12 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-04-27 16:12:13 | SCREEN | u | 10.100.102.12 | SUCCESS
2025-04-27 16:15:10 | LOGIN | u | 10.100.102.12 | SUCCESS
2025-04-27 16:15:23 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-04-27 16:15:24 | SCREEN | u | 10.100.102.12 | SUCCESS
2025-04-27 16:16:44 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-04-27 16:18:30 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-04-27 19:07:54 | LOGIN | u | 10.100.102.12 | SUCCESS
2025-04-27 19:08:08 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-04-27 19:08:09 | SCREEN | u | 10.100.102.12 | SUCCESS
2025-04-27 19:09:30 | LOGIN | u | 10.100.102.12 | SUCCESS
2025-04-27 19:09:40 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-04-27 19:09:41 | SCREEN | u | 10.100.102.12 | SUCCESS
2025-04-27 19:11:06 | LOGIN | u | 10.100.102.12 | SUCCESS
2025-04-27 19:11:16 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-04-27 19:11:17 | SCREEN | u | 10.100.102.12 | SUCCESS
2025-04-27 19:11:58 | LOGIN | u | 10.100.102.12 | SUCCESS
2025-04-27 19:12:07 | MOUSE | u | 10.100.102.12 | SUCCESS
2025-04-27 19:12:08 | SCREEN | u | 10.100.102.12 | SUCCESS
